* ====================================================================
* record-id : 20260808-023237-61e0c25
* testbench : tb_device_mv_fet.spice
* corner    : typical
* temp      : 27 C
* supply    : n/a (no supply rail in this device-level testbench)
* pdk       : gf180mcuD (/home/ubuntu/.volare/gf180mcuD)
* ngspice   : ngspice-46 : Circuit level simulation program
37	7.4000000000e-02	7.4000000000e-02	8.8572048030e-09	-1.316416451e-10	1.9845697952e-09	-1.823046711e-11	6.9862784606e-10	-1.833627851e-11	
38	7.6000000000e-02	7.6000000000e-02	1.2249997093e-08	-1.840989359e-10	2.6173379929e-09	-2.418440876e-11	8.5376930664e-10	-2.227220091e-11	
39	7.8000000000e-02	7.8000000000e-02	1.6903575227e-08	-2.573031896e-10	3.4491559211e-09	-3.208274589e-11	1.0432004795e-09	-2.705450961e-11	
40	8.0000000000e-02	8.0000000000e-02	2.3265459749e-08	-3.593577734e-10	4.5413199510e-09	-4.255775327e-11	1.2744452443e-09	-3.286481071e-11	
41	8.2000000000e-02	8.2000000000e-02	3.1931673785e-08	-5.014684157e-10	5.9733796836e-09	-5.644594391e-11	1.5566597645e-09	-3.992353965e-11	
42	8.4000000000e-02	8.4000000000e-02	4.3691610829e-08	-6.990933570e-10	7.8482923085e-09	-7.485335312e-11	1.9009802449e-09	-4.849821646e-11	
43	8.6000000000e-02	8.6000000000e-02	5.9584964490e-08	-9.734982003e-10	1.0298913892e-08	-9.924134287e-11	2.3209426050e-09	-5.891344043e-11	
44	8.8000000000e-02	8.8000000000e-02	8.0973546453e-08	-1.353846081e-09	1.3496129752e-08	-1.315392027e-10	2.8329881979e-09	-7.156298506e-11	
45	9.0000000000e-02	9.0000000000e-02	1.0963115900e-07	-1.879990181e-09	1.7658980953e-08	-1.742916580e-10	3.4570722369e-09	-8.692442753e-11	
46	9.2000000000e-02	9.2000000000e-02	1.4785450308e-07	-2.606179906e-09	2.3067206754e-08	-2.308517255e-10	4.2173944866e-09	-1.055768345e-10	
47	9.4000000000e-02	9.4000000000e-02	1.9859660847e-07	-3.605945502e-09	3.0076695686e-08	-3.056322972e-10	5.1432750700e-09	-1.282221296e-10	
48	9.6000000000e-02	9.6000000000e-02	2.6562021504e-07	-4.978490413e-09	3.9138423397e-08	-4.044335151e-10	6.2702019483e-09	-1.557108930e-10	
49	9.8000000000e-02	9.8000000000e-02	3.5366034463e-07	-6.856999159e-09	5.0821555982e-08	-5.348675809e-10	7.6410807591e-09	-1.890734891e-10	
50	1.0000000000e-01	1.0000000000e-01	4.6857174405e-07	-9.419365318e-09	6.5841512424e-08	-7.069082869e-10	9.3077222270e-09	-2.295575937e-10	
51	1.0200000000e-01	1.0200000000e-01	6.1741839840e-07	-1.290196418e-08	8.5093899259e-08	-9.335994455e-10	1.1332607265e-08	-2.786733964e-10	
52	1.0400000000e-01	1.0400000000e-01	8.0844296543e-07	-1.761723923e-08	1.0969532472e-07	-1.231964730e-09	1.3790975091e-08	-3.382479980e-10	
53	1.0600000000e-01	1.0600000000e-01	1.0508431121e-06	-2.397602712e-08	1.4103210252e-07	-1.624171426e-09	1.6773285069e-08	-4.104908014e-10	
54	1.0800000000e-01	1.0800000000e-01	1.3542935213e-06	-3.251565969e-08	1.8081764404e-07	-2.139012445e-09	2.0388108451e-08	-4.980720323e-10	
55	1.1000000000e-01	1.1000000000e-01	1.7282004449e-06	-4.393482051e-08	2.3115871403e-07	-2.813784970e-09	2.4765511435e-08	-6.042169036e-10	
56	1.1200000000e-01	1.1200000000e-01	2.1807613277e-06	-5.913563016e-08	2.9462941462e-07	-3.696660524e-09	3.0060995837e-08	-7.328183891e-10	
57	1.1400000000e-01	1.1400000000e-01	2.7179999793e-06	-7.927204979e-08	3.7434944814e-07	-4.849660687e-09	3.6460067745e-08	-8.885720796e-10	
58	1.1600000000e-01	1.1600000000e-01	3.3430058596e-06	-1.058008582e-07	4.7405963595e-07	-6.352375617e-09	4.4183507506e-08	-1.077137184e-09	
59	1.1800000000e-01	1.1800000000e-01	4.0555746706e-06	-1.405267194e-07	5.9818282313e-07	-8.306590028e-09	5.3493415729e-08	-1.305328404e-09	
60	1.2000000000e-01	1.2000000000e-01	4.8523262547e-06	-1.856264263e-07	7.5185267106e-07	-1.084201439e-08	6.4700109286e-08	-1.581344159e-09	
61	1.2200000000e-01	1.2200000000e-01	5.7272272764e-06	-2.436310152e-07	9.4088770088e-07	-1.412335867e-08	7.8169937766e-08	-1.915037487e-09	
62	1.2400000000e-01	1.2400000000e-01	6.6723485346e-06	-3.173420320e-07	1.1716855071e-06	-1.835903167e-08	9.4334083946e-08	-2.318236878e-09	
63	1.2600000000e-01	1.2600000000e-01	7.6786732106e-06	-4.096654088e-07	1.4510152556e-06	-2.381179664e-08	1.1369840040e-07	-2.805125313e-09	
64	1.2800000000e-01	1.2800000000e-01	8.7368201050e-06	-5.233671148e-07	1.7856982779e-06	-3.081175179e-08	1.3685431722e-07	-3.392686917e-09	
65	1.3000000000e-01	1.3000000000e-01	9.8376117128e-06	-6.607855566e-07	2.1821879259e-06	-3.977200550e-08	1.6449083097e-07	-4.101231819e-09	
66	1.3200000000e-01	1.3200000000e-01	1.0972470752e-05	-8.235624437e-07	2.6460881428e-06	-5.120733182e-08	1.9740754954e-07	-4.955011092e-09	
67	1.3400000000e-01	1.3400000000e-01	1.2133661204e-05	-1.012458256e-06	3.1816774407e-06	-6.575584064e-08	2.3652871775e-07	-5.982934987e-09	
68	1.3600000000e-01	1.3600000000e-01	1.3314404205e-05	-1.227293699e-06	3.7915193086e-06	-8.420316633e-08	2.8291807859e-07	-7.219409049e-09	
69	1.3800000000e-01	1.3800000000e-01	1.4508901877e-05	-1.467017818e-06	4.4762314738e-06	-1.075077380e-07	3.3779432832e-07	-8.705304139e-09	
70	1.4000000000e-01	1.4000000000e-01	1.5712298911e-05	-1.729869419e-06	5.2344540329e-06	-1.368242475e-07	4.0254679190e-07	-1.048907780e-08	
71	1.4200000000e-01	1.4200000000e-01	1.6920606155e-05	-2.013584798e-06	6.0630115287e-06	-1.735205085e-07	4.7875077160e-07	-1.262806583e-08	
72	1.4400000000e-01	1.4400000000e-01	1.8130604450e-05	-2.315609671e-06	6.9572243055e-06	-2.191808034e-07	5.6818180116e-07	-1.518996439e-08	
73	1.4600000000e-01	1.4600000000e-01	1.9339741646e-05	-2.633286909e-06	7.9113034994e-06	-2.755872599e-07	6.7282777291e-07	-1.825452423e-08	
74	1.4800000000e-01	1.4800000000e-01	2.0546031340e-05	-2.964005880e-06	8.9187644225e-06	-3.446709356e-07	7.9489761052e-07	-2.191548011e-08	
75	1.5000000000e-01	1.5000000000e-01	2.1747958512e-05	-3.305309903e-06	9.9728081862e-06	-4.284274266e-07	9.3682486488e-07	-2.628273952e-08	
76	1.5200000000e-01	1.5200000000e-01	2.2944394849e-05	-3.654964888e-06	1.1066641569e-05	-5.287986575e-07	1.1012643672e-06	-3.148485586e-08	
77	1.5400000000e-01	1.5400000000e-01	2.4134524836e-05	-4.010995581e-06	1.2193723217e-05	-6.475321167e-07	1.2910799495e-06	-3.767181168e-08	
78	1.5600000000e-01	1.5600000000e-01	2.5317782642e-05	-4.371696870e-06	1.3347937094e-05	-7.860380119e-07	1.5093213226e-06	-4.501813729e-08	
79	1.5800000000e-01	1.5800000000e-01	2.6493799161e-05	-4.735627338e-06	1.4523701566e-05	-9.452692253e-07	1.7591885603e-06	-5.372638810e-08	
80	1.6000000000e-01	1.6000000000e-01	2.7662358218e-05	-5.101591244e-06	1.5716025753e-05	-1.125645539e-06	2.0439833362e-06	-6.403099936e-08	
81	1.6200000000e-01	1.6200000000e-01	2.8823360826e-05	-5.468613911e-06	1.6920525338e-05	-1.327033201e-06	2.3670470935e-06	-7.620252849e-08	
82	1.6400000000e-01	1.6400000000e-01	2.9976796324e-05	-5.835914169e-06	1.8133409038e-05	-1.548777999e-06	2.7316876324e-06	-9.055227963e-08	
83	1.6600000000e-01	1.6600000000e-01	3.1122719329e-05	-6.202876489e-06	1.9351445272e-05	-1.789779820e-06	3.1410970340e-06	-1.074372808e-07	
84	1.6800000000e-01	1.6800000000e-01	3.2261231514e-05	-6.569024438e-06	2.0571916671e-05	-2.048591945e-06	3.5982651717e-06	-1.272655465e-07	
85	1.7000000000e-01	1.7000000000e-01	3.3392467342e-05	-6.933996471e-06	2.1792568269e-05	-2.323528807e-06	4.1058940663e-06	-1.505015069e-07	
86	1.7200000000e-01	1.7200000000e-01	3.4516583011e-05	-7.297524517e-06	2.3011553668e-05	-2.612769453e-06	4.6663187816e-06	-1.776714095e-07	
87	1.7400000000e-01	1.7400000000e-01	3.5633747998e-05	-7.659415497e-06	2.4227382128e-05	-2.914448466e-06	5.2814403080e-06	-2.093684123e-07	
88	1.7600000000e-01	1.7600000000e-01	3.6744138662e-05	-8.019535682e-06	2.5438868547e-05	-3.226730104e-06	5.9526749315e-06	-2.462569727e-07	
89	1.7800000000e-01	1.7800000000e-01	3.7847933480e-05	-8.377797670e-06	2.6645087470e-05	-3.547864522e-06	6.6809230710e-06	-2.890760192e-07	
90	1.8000000000e-01	1.8000000000e-01	3.8945309575e-05	-8.734149697e-06	2.7845331718e-05	-3.876226968e-06	7.4665587365e-06	-3.386402740e-07	
91	1.8200000000e-01	1.8200000000e-01	4.0036440241e-05	-9.088566977e-06	2.9039075802e-05	-4.210342026e-06	8.3094389050e-06	-3.958389993e-07	
92	1.8400000000e-01	1.8400000000e-01	4.1121493237e-05	-9.441044762e-06	3.0225944043e-05	-4.548895534e-06	9.2089305296e-06	-4.616314009e-07	
93	1.8600000000e-01	1.8600000000e-01	4.2200629677e-05	-9.791592848e-06	3.1405683101e-05	-4.890736900e-06	1.0163951756e-05	-5.370379606e-07	
94	1.8800000000e-01	1.8800000000e-01	4.3274003368e-05	-1.014023127e-05	3.2578138570e-05	-5.234874349e-06	1.1173023347e-05	-6.231271278e-07	
95	1.9000000000e-01	1.9000000000e-01	4.4341760476e-05	-1.048698698e-05	3.3743235205e-05	-5.580465358e-06	1.2234326223e-05	-7.209970933e-07	
96	1.9200000000e-01	1.9200000000e-01	4.5404039439e-05	-1.083189130e-05	3.4900960357e-05	-5.926804073e-06	1.3345761421e-05	-8.317527923e-07	
97	1.9400000000e-01	1.9400000000e-01	4.6460971062e-05	-1.117497799e-05	3.6051350208e-05	-6.273307187e-06	1.4505009326e-05	-9.564788160e-07	
98	1.9600000000e-01	1.9600000000e-01	4.7512678724e-05	-1.151628186e-05	3.7194478411e-05	-6.619499328e-06	1.5709585840e-05	-1.096209473e-06	
99	1.9800000000e-01	1.9800000000e-01	4.8559278678e-05	-1.185583771e-05	3.8330446785e-05	-6.964998741e-06	1.6956893860e-05	-1.251897750e-06	
100	2.0000000000e-01	2.0000000000e-01	4.9600880400e-05	-1.219367963e-05	3.9459377745e-05	-7.309503770e-06	1.8244269114e-05	-1.424385253e-06	
101	2.0200000000e-01	2.0200000000e-01	5.0637586961e-05	-1.252984050e-05	4.0581408197e-05	-7.652780439e-06	1.9569019955e-05	-1.614375299e-06	
102	2.0400000000e-01	2.0400000000e-01	5.1669495421e-05	-1.286435168e-05	4.1696684644e-05	-7.994651308e-06	2.0928461134e-05	-1.822411119e-06	
103	2.0600000000e-01	2.0600000000e-01	5.2696697214e-05	-1.319724284e-05	4.2805359307e-05	-8.334985633e-06	2.2319941819e-05	-2.048860629e-06	
104	2.0800000000e-01	2.0800000000e-01	5.3719278531e-05	-1.352854184e-05	4.3907587080e-05	-8.673690818e-06	2.3740868342e-05	-2.293908602e-06	
105	2.1000000000e-01	2.1000000000e-01	5.4737320684e-05	-1.385827479e-05	4.5003523164e-05	-9.010705089e-06	2.5188722215e-05	-2.557556294e-06	
106	2.1200000000e-01	2.1200000000e-01	5.5750900454e-05	-1.418646602e-05	4.6093321260e-05	-9.345991264e-06	2.6661073995e-05	-2.839627976e-06	
107	2.1400000000e-01	2.1400000000e-01	5.6760090418e-05	-1.451313822e-05	4.7177132216e-05	-9.679531540e-06	2.8155593558e-05	-3.139783277e-06	
108	2.1600000000e-01	2.1600000000e-01	5.7764959254e-05	-1.483831247e-05	4.8255103031e-05	-1.001132315e-05	2.9670057328e-05	-3.457533991e-06	
109	2.1800000000e-01	2.1800000000e-01	5.8765572023e-05	-1.516200843e-05	4.9327376160e-05	-1.034137478e-05	3.1202352924e-05	-3.792263872e-06	
110	2.2000000000e-01	2.2000000000e-01	5.9761990432e-05	-1.548424438e-05	5.0394089041e-05	-1.066970365e-05	3.2750481661e-05	-4.143250041e-06	
111	2.2200000000e-01	2.2200000000e-01	6.0754273076e-05	-1.580503739e-05	5.1455373809e-05	-1.099633316e-05	3.4312559291e-05	-4.509684793e-06	
112	2.2400000000e-01	2.2400000000e-01	6.1742475658e-05	-1.612440341e-05	5.2511357152e-05	-1.132129098e-05	3.5886815288e-05	-4.890696829e-06	
113	2.2600000000e-01	2.2600000000e-01	6.2726651192e-05	-1.644235738e-05	5.3562160273e-05	-1.164460756e-05	3.7471590983e-05	-5.285371192e-06	
114	2.2800000000e-01	2.2800000000e-01	6.3706850188e-05	-1.675891336e-05	5.4607898938e-05	-1.196631493e-05	3.9065336777e-05	-5.692767421e-06	
115	2.3000000000e-01	2.3000000000e-01	6.4683120825e-05	-1.707408457e-05	5.5648683585e-05	-1.228644583e-05	4.0666608641e-05	-6.111935612e-06	
116	2.3200000000e-01	2.3200000000e-01	6.5655509103e-05	-1.738788354e-05	5.6684619479e-05	-1.260503295e-05	4.2274064084e-05	-6.541930282e-06	
117	2.3400000000e-01	2.3400000000e-01	6.6624058985e-05	-1.770032218e-05	5.7715806897e-05	-1.292210849e-05	4.3886457736e-05	-6.981822006e-06	
118	2.3600000000e-01	2.3600000000e-01	6.7588812529e-05	-1.801141179e-05	5.8742341330e-05	-1.323770373e-05	4.5502636668e-05	-7.430699406e-06	
119	2.3800000000e-01	2.3800000000e-01	6.8549810004e-05	-1.832116322e-05	5.9764313706e-05	-1.355184878e-05	4.7121535565e-05	-7.887645256e-06	
120	2.4000000000e-01	2.4000000000e-01	6.9507090000e-05	-1.862958685e-05	6.0781810612e-05	-1.386457243e-05	4.8742171824e-05	-8.351817394e-06	
121	2.4200000000e-01	2.4200000000e-01	7.0460689529e-05	-1.893669268e-05	6.1794914518e-05	-1.417590200e-05	5.0363640666e-05	-8.822424605e-06	
122	2.4400000000e-01	2.4400000000e-01	7.1410644114e-05	-1.924249039e-05	6.2803703999e-05	-1.448586336e-05	5.1985110305e-05	-9.298721808e-06	
123	2.4600000000e-01	2.4600000000e-01	7.2356987874e-05	-1.954698934e-05	6.3808253954e-05	-1.479448084e-05	5.3605817231e-05	-9.780011502e-06	
124	2.4800000000e-01	2.4800000000e-01	7.3299753600e-05	-1.985019862e-05	6.4808635812e-05	-1.510177734e-05	5.5225061636e-05	-1.026564420e-05	
125	2.5000000000e-01	2.5000000000e-01	7.4238972830e-05	-2.015212711e-05	6.5804917735e-05	-1.540777430e-05	5.6842203014e-05	-1.075501805e-05	
126	2.5200000000e-01	2.5200000000e-01	7.5174675911e-05	-2.045278347e-05	6.6797164808e-05	-1.571249181e-05	5.8456655958e-05	-1.124757779e-05	
127	2.5400000000e-01	2.5400000000e-01	7.6106892063e-05	-2.075217616e-05	6.7785439218e-05	-1.601594866e-05	6.0067886148e-05	-1.174281325e-05	
128	2.5600000000e-01	2.5600000000e-01	7.7035649434e-05	-2.105031352e-05	6.8769800428e-05	-1.631816243e-05	6.1675406575e-05	-1.224025739e-05	
129	2.5800000000e-01	2.5800000000e-01	7.7960975153e-05	-2.134720372e-05	6.9750305334e-05	-1.661914955e-05	6.3278773958e-05	-1.273948412e-05	
130	2.6000000000e-01	2.6000000000e-01	7.8882895378e-05	-2.164285479e-05	7.0727008418e-05	-1.691892541e-05	6.4877585400e-05	-1.324010596e-05	
131	2.6200000000e-01	2.6200000000e-01	7.9801435347e-05	-2.193727467e-05	7.1699961887e-05	-1.721750444e-05	6.6471475237e-05	-1.374177156e-05	
132	2.6400000000e-01	2.6400000000e-01	8.0716619412e-05	-2.223047118e-05	7.2669215805e-05	-1.751490015e-05	6.8060112116e-05	-1.424416323e-05	
133	2.6600000000e-01	2.6600000000e-01	8.1628471088e-05	-2.252245205e-05	7.3634818215e-05	-1.781112524e-05	6.9643196257e-05	-1.474699439e-05	
134	2.6800000000e-01	2.6800000000e-01	8.2537013085e-05	-2.281322492e-05	7.4596815254e-05	-1.810619168e-05	7.1220456923e-05	-1.525000721e-05	
135	2.7000000000e-01	2.7000000000e-01	8.3442267345e-05	-2.310279735e-05	7.5555251257e-05	-1.840011075e-05	7.2791650065e-05	-1.575297022e-05	
136	2.7200000000e-01	2.7200000000e-01	8.4344255076e-05	-2.339117684e-05	7.6510168861e-05	-1.869289310e-05	7.4356556147e-05	-1.625567604e-05	
137	2.7400000000e-01	2.7400000000e-01	8.5242996785e-05	-2.367837080e-05	7.7461609090e-05	-1.898454883e-05	7.5914978134e-05	-1.675793933e-05	
138	2.7600000000e-01	2.7600000000e-01	8.6138512303e-05	-2.396438658e-05	7.8409611447e-05	-1.927508756e-05	7.7466739637e-05	-1.725959467e-05	
139	2.7800000000e-01	2.7800000000e-01	8.7030820819e-05	-2.424923149e-05	7.9354213990e-05	-1.956451841e-05	7.9011683201e-05	-1.776049481e-05	
140	2.8000000000e-01	2.8000000000e-01	8.7919940902e-05	-2.453291275e-05	8.0295453408e-05	-1.985285013e-05	8.0549668731e-05	-1.826050885e-05	
141	2.8200000000e-01	2.8200000000e-01	8.8805890529e-05	-2.481543755e-05	8.1233365087e-05	-2.014009107e-05	8.2080572042e-05	-1.875952067e-05	
142	2.8400000000e-01	2.8400000000e-01	8.9688687110e-05	-2.509681300e-05	8.2167983181e-05	-2.042624927e-05	8.3604283528e-05	-1.925742745e-05	
143	2.8600000000e-01	2.8600000000e-01	9.0568347508e-05	-2.537704619e-05	8.3099340664e-05	-2.071133244e-05	8.5120706936e-05	-1.975413832e-05	
144	2.8800000000e-01	2.8800000000e-01	9.1444888062e-05	-2.565614414e-05	8.4027469393e-05	-2.099534806e-05	8.6629758243e-05	-2.024957317e-05	
145	2.9000000000e-01	2.9000000000e-01	9.2318324611e-05	-2.593411382e-05	8.4952400157e-05	-2.127830334e-05	8.8131364626e-05	-2.074366143e-05	
146	2.9200000000e-01	2.9200000000e-01	9.3188672507e-05	-2.621096215e-05	8.5874162725e-05	-2.156020529e-05	8.9625463513e-05	-2.123634118e-05	
